component,bar,bar,bar,bar,bar,bar,bar,bar,bulge,bulge,bulge,bulge,bulge,bulge,bulge,bulge,disk,disk,disk,disk,disk,disk,disk,disk
parameter,I,Re,c,mux,muy,n,q,roll,I,Re,c,mux,muy,n,q,roll,I,Re,c,mux,muy,n,q,roll
20902002,,,,,,,,,0.7102314841071257,0.23127338544914938,0.0,0.11657985438884405,0.14797578614792714,2.2156037551872854,0.03828867477266198,2.4810638590794647,0.278245326734743,1.735185719543225,0.0,1.6572932683100927,1.0824784334559034,0.0,0.1428483763319638,2.5635425988450087
20902013,,,,,,,,,0.3427126416269349,0.11462489267734176,0.0,0.2207630298774744,0.15979551965528532,1.2032123669577204,0.21973455695837374,1.3842511389806125,0.05687769118908,0.46405263720811,0.0,0.6510708659295604,0.38745429786415486,0.0,0.12150087805602608,2.2594191362310387
20902015,,,,,,,,,0.8540492423375846,0.06770183737484854,0.0,0.0987887206840425,0.1185352590016595,1.6777067681809,0.09695688972866469,0.7622902169405578,0.3541985128911846,0.2632870528597474,0.0,0.5872357390718617,0.8109981436978178,0.0,0.0640235872941053,1.4217547497755343
20902017,,,,,,,,,0.2672453089510982,0.09418329662164014,0.0,0.149589960795235,0.21543227113588556,2.059736768510859,0.11042028082206595,1.5823505458692309,0.046162413208911304,1.0676536785373145,0.0,0.493675317052537,0.5415002330259949,0.0,0.08648785478056227,1.8477469092367529
20901998,,,,,,,,,0.023189971700705077,0.06211746201994158,0.0,0.10809190031529264,0.12691741691560587,2.0298994227957863,0.09196842392262697,1.5236746946368114,0.11600738326153275,1.0047576674683345,0.0,0.5558415296579657,0.5961202039215121,0.0,0.09531474339353814,1.475469117356766
20902005,,,,,,,,,0.11015691052412126,0.1522829946244679,0.0,0.3062746271562189,0.35418513218137704,1.7279901620090319,0.10209093248068805,1.9237475480776927,0.08090298868398982,0.4725626777443823,0.0,0.41947419994743396,1.1361680743396416,0.0,0.011320383904543927,1.6093142781344811
20902016,,,,,,,,,0.16804382412557284,0.1398497830014803,0.0,0.09335113494171587,0.2473314952589954,0.17365297907855523,0.1761617659296489,1.9198183326724283,0.08516136982497764,0.8729991846667008,0.0,0.5812485410284647,0.5540542930668213,0.0,0.043726734637226906,1.4625260606161317
20902051,,,,,,,,,1.2413070155201233,0.09683518976814195,0.0,0.12587981049950916,0.12558301701957886,1.2300792880725433,0.07257524329226307,2.105575637727671,0.14923550752543027,0.2732470090630903,0.0,0.2774788864156759,0.24291942313981876,0.0,0.039348003270974194,1.383128455266024
20902054,,,,,,,,,1.2015141078258291,0.03615392735758819,0.0,0.09515240501725615,0.05706224034665143,1.8401751124402386,0.12038589744851082,1.768092717585717,0.3561608503607658,0.6479312724416397,0.0,0.3994880054505528,0.21762134809676265,0.0,0.03319438506701805,1.5228657722766252
20902063,0.8343718525040545,0.30850663488364116,0.36621617347447366,0.2349744135292457,0.22079831232115912,0.26273288988737475,0.03923722538396445,1.1312756183806951,2.660161014278436,0.046802462276433025,0.0,0.0854981859729375,0.18340301831819708,1.0130942700459815,0.05880127198329664,1.3140800834956492,0.4625896141959593,0.4641473639112558,0.0,0.6904281867343159,0.1992753653487376,0.0,0.12349750545040183,2.4367494531890115
20901994,,,,,,,,,0.6583861359614778,0.15462363133130042,0.0,0.11626800311477221,0.11939915244378892,1.6259397282802335,0.11193265057574124,1.6889549346928319,0.6391276426309791,0.6406803729271795,0.0,0.2605060244163893,0.2406125958532539,0.0,0.1096475493997507,2.033011863859653
20901990,,,,,,,,,,,,,,,,,0.07862182537784013,0.9558013422162803,0.0,0.550586467676477,0.3422874580483606,0.0,0.07457748550382577,1.5484300856142332
20902001,,,,,,,,,1.1548861988171328,0.10667174255280132,0.0,0.1371264741194662,0.04984332779976878,1.8984269804235296,0.16570871066738727,1.4610908486348988,0.20764237994993678,0.2895739614300693,0.0,0.9288013281708024,0.8790858154316865,0.0,0.08200967088441245,1.6208784540582368
20902003,,,,,,,,,0.2473765263991524,0.08825734518251635,0.0,0.18195330189267384,0.10247042541849141,1.5300465431621433,0.057931808549288366,1.5970102855036576,0.15870928476942844,0.6952768180166049,0.0,0.30347524949345706,0.23209703568128504,0.0,0.04556258939265429,1.5747531457602169
20901995,0.018120419831227256,0.17439700535545308,0.5773502691896258,0.06285997403460292,0.20773496552249515,0.03055050463303893,0.06726221025580126,0.13843375811166314,,,,,,,,,0.13636743732046483,0.5676339387287429,0.0,0.5605156121534652,0.8993017452244606,0.0,0.15188791724848993,2.543183603042698
20901999,,,,,,,,,1.9270263629309963,0.053706260932545026,0.0,0.09456297383804184,0.13474304783719504,0.37493703175036974,0.14187088281060406,1.7248179994101935,0.15134839964314176,0.32484016365340873,0.0,0.3048250996832735,0.4994363829897361,0.0,0.07471119006071492,1.6736330972472397
20902026,,,,,,,,,0.5509592162854395,0.043852974370586856,0.0,0.10953808901245767,0.1329800574541766,0.4033077520419646,0.14432908549857335,1.0666387394069956,0.1758132499983606,0.28692566857312174,0.0,0.3209608305893776,0.3152700241378053,0.0,0.04235823727026165,1.2516340372765697
20902027,0.1169879491128314,0.23551262654146754,0.1316434578701121,0.2506806710415617,0.11809124847496137,0.03209361307176246,0.07833706183682937,1.3847051859554995,0.038670796900987625,0.08859855233430453,0.0,0.18734751227902746,0.09278186533280428,0.29500000000000004,0.1693063757838955,2.260212301236893,0.11921649124692209,0.4658617307893906,0.0,0.5337529283022812,0.4886629903565878,0.0,0.039661150962245685,1.1837429011012737
20902030,,,,,,,,,0.10657077026589892,0.09907556435217131,0.0,0.1635666891377473,0.2098434787016297,0.612828143392039,0.033855952091529064,1.4652342166622698,0.10170674738634418,1.0818766390511299,0.0,0.19352003154069516,0.327781673255634,0.0,0.07534661088064135,1.9126744304454601
20902049,,,,,,,,,2.960010097716405,0.06810146197091799,0.0,0.11773873548805529,0.08522120529911023,0.7241820098106091,0.09210569125758751,2.134305241570289,0.3851346402210103,0.20506251379112922,0.0,0.13062736454377202,0.18206394212223664,0.0,0.11939851010787385,1.8853092488303118
20902066,,,,,,,,,4.976850860699343,0.04926734330072859,0.0,0.06455614759799545,0.12541836722609398,0.2566376410191591,0.10884775747515088,1.6427574095603494,0.1863629439693968,0.2216042736889154,0.0,0.1131404306848617,0.13778578334440278,0.0,0.05282862663964163,1.6275618206127127
20902068,,,,,,,,,0.2752957111238646,0.08233045441308688,0.0,0.10160747197064142,0.12563351999577063,1.4604743936630502,0.09853889486575608,2.23894734224727,0.017812098362181183,0.8080759606333896,0.0,0.1739652432580253,0.19850778105923833,0.0,0.03598361433002267,2.24314477809017
20902074,,,,,,,,,0.19693715120478927,0.05125756493915032,0.0,0.08628317811474003,0.13235469340246506,1.8655251079981285,0.055352718394433564,1.2058865785063173,0.07155667391636558,0.36116901681412467,0.0,0.36708608344409827,0.46091719293220906,0.0,0.0640355830993814,1.8053919010247748
20902076,,,,,,,,,0.4398103153171658,0.09959340296916395,0.0,0.05722890418044766,0.12354209165335749,1.523062107012771,0.14093221286808738,1.5774615545126986,0.20363404813995137,0.49963659202841526,0.0,0.5608621934940016,0.4210114833311709,0.0,0.08866372116727242,1.3780274854928574
20902078,0.06863275703452539,0.05891081049983257,0.025625508125043415,0.19779723700510654,0.10587021524180393,0.08010409893798612,0.1109669650353191,0.327782383117809,0.792701617494663,0.103122908397593,0.0,0.08217006972302267,0.1531152759086577,1.6494899644608763,0.10917197505343473,1.4689520205503837,0.2245388293501743,0.7780533238333444,0.0,0.3642086431424807,0.538859444846093,0.0,0.1386789578989756,1.6294398215546546
20902022,0.5342275298271703,0.21343886729514863,0.602522475376092,0.28508596425474925,0.13968163845224546,0.06027713773341708,0.10722478270930035,1.1636116212312048e-09,0.8550803789816136,0.043900802098919736,0.0,0.048367282358737995,0.057667536201792435,0.4834563061952961,0.08776204109428147,0.09707046195367865,0.5311567434690505,0.8455440414237119,0.0,0.3471080973778207,0.5256280682246028,0.0,0.1149597558802413,1.854523312783664
20902032,,,,,,,,,0.10308855581917842,0.09421631209234042,0.0,0.13877865997822317,0.09537181465130296,0.0,0.11887477202685137,0.2346153638836768,0.04240663557488329,0.45994850156825184,0.0,0.285345907265303,0.46922967077099503,0.0,0.08030424414672391,1.5684604742356818
20902033,,,,,,,,,0.12555109625750085,0.07449142637297304,0.0,0.22861395293172998,0.29849519953409703,1.8041565764591918,0.12071014248233598,1.466064923392365,0.07514442538278489,0.8423981930880985,0.0,0.4311378294440896,0.4449191452360838,0.0,0.11240079859625184,1.5680151543631384
20902037,0.04546560198068618,0.2596714818182288,0.0,0.3033421120022992,0.191732450663692,0.0,0.09728032177506284,1.7470048230417152,,,,,,,,,0.1644780698643903,0.6682443169032841,0.0,0.6352859668327535,0.9142772241536301,0.0,0.1061557933419941,1.3886849982882137
20902070,,,,,,,,,0.4377323364302513,0.08066900318737105,0.0,0.09182453285315785,0.06918906694348076,1.255866234915168,0.09478467312833967,1.691382000439569,0.1266684302739332,0.6827791629602125,0.0,0.24399753148010223,0.1934638669427184,0.0,0.12815959349899303,1.3911519310766685
20902071,0.25879715464441955,0.026488599347779106,0.015275252316519383,0.12781892080823623,0.22934381758011926,0.871856257265688,0.016168114704832117,0.13248258766866505,2.4575068697364477,0.11546845418072771,0.0,0.07328059565955433,0.06627382763292908,1.5371402018033362,0.06904497863941905,1.8890308547122607,0.24949097908747242,0.3825180471921347,0.0,0.23424236832339942,0.13862943312073692,0.0,0.10131682233660348,1.5108804473502766
20902072,0.18989655606677583,0.09731290843732855,0.5059891303180336,0.06646286924379306,0.03364969280106787,0.48596124674024505,0.11360742215435093,1.6891965500087285,1.3348881588686843,0.050035534260444166,0.0,0.07992681236720141,0.06984087096007852,1.7694707306611959,0.11873922887093166,1.4703037327954778,0.13969836999899218,0.35327610099596407,0.0,0.1450949249787184,0.23032383534015782,0.0,0.13268149390326317,1.4540301892631315
20902079,0.28160000420663467,0.86509055479561,0.4153404534929054,0.8683857853751114,0.8322589413477633,0.7245635290934176,0.12910011240133637,0.795513218914293,0.6206490054040862,0.13670788381624555,0.0,0.14815059110142928,0.08730534799355887,1.6694684277664675,0.13844494391657486,1.9527074408649308,0.20441458870588664,0.7361931631955947,0.0,0.26290359740731617,0.30114617327740967,0.0,0.13398369828744003,1.5554825982972018
20902083,0.0,0.05403186625109673,0.0,0.0540318661659492,0.20937348147368326,0.0,0.1424080575978847,1.9889972250339755e-11,1.2218373792663937,0.1116396601428536,0.0,0.10354770483682764,0.11991949733232211,1.2370874202275624,0.17315197187684778,1.1974003988354973,0.5528704056744357,0.45867001322780737,0.0,0.3369198607401885,0.23886541082567003,0.0,0.05113802798456844,1.341945359692917
20901993,0.2495922033625634,0.19299746414008945,0.4044043238429297,0.2905636722388028,0.3766892042824034,0.609412773554533,0.060589648018594115,0.06919459075543147,0.11907133355416336,0.16126101607442447,0.0,0.32321600822174856,0.220555101699796,1.9483676928820872,0.014701390093540288,1.7287232446285845,0.17957930177684348,0.6765886625681975,0.0,0.7171607078164155,0.3354062851463299,0.0,0.056885992654291735,1.5331360735050557
20902010,0.36714377933547543,0.05733634478189479,0.215476216785055,0.07383005036483649,0.38697876955210875,0.8125269226308751,0.06793285658186411,3.4098560243241667,,,,,,,,,0.14355418135729175,0.26414809989808397,0.0,0.7009509870687638,1.0365206239952114,0.0,0.09394175443076365,2.2700266807926135
20902011,0.10109260028632591,0.20824759289817538,0.2530951261030976,0.27084938751709403,0.17656544827622214,0.6800455166839237,0.08185680411544287,1.1275741333050706,0.15677169724054238,0.03838539712278757,0.0,0.14688833309694502,0.07588070527639675,1.2888134077514868,0.17957572162490337,1.2847778927847022,0.23760300292232134,0.5886185027190781,0.0,0.2741198766594431,0.2763473538215961,0.0,0.11858116339790574,1.8227436972881765
