subject_id,m_tot,m_aper,BT,r_tot,ba_tot,BT_aper,xctr_bulge,xctr_bulge_err,yctr_bulge,yctr_bulge_err,m_bulge,m_bulge_err,r_bulge,r_bulge_err,n_bulge,n_bulge_err,ba_bulge,ba_bulge_err,pa_bulge,pa_bulge_err,xctr_disk,xctr_disk_err,yctr_disk,yctr_disk_err,m_disk,m_disk_err,r_disk,r_disk_err,n_disk,n_disk_err,ba_disk,ba_disk_err,pa_disk,pa_disk_err,GalSky,GalSky_err,chi2nu,finalflag,autoflag,pyflag,pyfitflag,ra,dec,dr7objid
21096825,15.3303,15.4273,0.148075,9.13006,0.831433,0.1606,378.94,0.07,379.08,0.06,17.4041,0.128,3.73024,0.28813,1.213,0.0568,0.791,0.0116,-69.5055,2.8584,378.21,0.13,378.93,0.1,15.5043,0.0196,11.5231,0.160208,1.0,-999.0,0.831,0.0042,86.61,1.7564,21.1272,5.39068e-05,1.02273,5121,2048,62,0,230.486,10.5675,587736915683246411
21096843,14.7516,14.8031,0.147044,11.1655,0.897397,0.1524,449.5,0.04,97.29,0.04,16.833,0.2948,4.33565,1.15755,2.1997,0.2789,0.9782,0.0166,0.0,28.8658,448.29,0.08,96.38,0.1,14.9243,0.0466,13.6307,0.16971,1.0,-999.0,0.8332,0.0066,18.5784,1.0833,20.8613,0.00012453,1.09581,3073,0,65598,1026,169.121,41.0783,588017720639815764
21096853,15.1621,15.2565,0.177183,7.08131,0.864117,0.1917,293.46,0.04,291.18,0.06,17.041,0.0347,4.16477,0.0829224,0.9611,0.0221,0.4188,0.0057,26.3898,0.4144,293.38,0.05,295.18,0.06,15.3738,0.0078,8.9179,0.0605349,1.0,-999.0,0.8778,0.005,39.4182,1.8004,21.0609,9.47248e-05,1.02228,5121,2048,62,0,165.777,50.3412,587732134844170364
21096872,14.5971,14.6172,0.106672,7.46824,0.736093,0.1073,321.82,0.01,322.27,0.02,17.027,0.0132,3.34058,0.0595584,2.6323,0.0507,0.1196,0.0021,-45.5894,0.1358,323.36,0.02,323.75,0.02,14.7196,0.0021,9.41986,0.0219946,1.0,-999.0,0.745,0.0018,-18.7651,0.45,20.9884,9.63514e-05,1.05854,5121,64,62,0,223.838,5.2978,587736545773682791
21096893,15.3613,15.3613,0.240421,3.48837,0.745327,0.240421,187.51,0.01,187.8,0.01,16.9088,0.0408,0.855202,0.0763884,8.0,0.6022,0.3084,0.0085,27.9658,0.512,187.42,0.03,187.3,0.03,15.6598,0.0079,5.02699,0.0216623,1.0,-999.0,0.808,0.0028,-11.2199,1.1716,21.1628,0.000169461,1.12815,5121,64,62,128,196.495,25.4657,587742191520382993
21096900,15.1546,15.1546,0.227208,4.11872,0.785195,0.227208,171.13,0.01,150.31,0.01,16.7635,0.0354,1.69167,0.0890208,3.6816,0.1354,0.5378,0.0078,-27.9891,0.6063,169.82,0.02,152.11,0.02,15.4344,0.0085,5.70742,0.0245196,1.0,-999.0,0.7219,0.0041,36.4311,0.4222,20.98,0.000145867,1.16768,5121,128,62,0,198.759,28.0364,587741723362066541
21096907,14.5295,14.5452,0.171418,14.001,0.564149,-999.0,495.9,0.01,280.55,0.01,16.4444,0.004,1.20384,0.0059004,1.7097,0.0275,0.6015,0.0035,28.8586,0.3824,496.3,0.08,280.3,0.14,14.7337,0.0043,22.9421,0.153032,1.0,-999.0,0.5616,0.0022,28.0911,0.3122,20.9118,4.29943e-05,1.01187,5121,2048,62,0,161.652,52.1496,587731868555477136
21096909,14.4671,14.4671,0.146917,14.8634,0.72387,0.146917,547.57,0.03,368.63,0.03,16.5494,0.2028,9.26735,3.25223,6.4107,0.7971,0.7892,0.0179,1.0657,3.0409,547.37,0.08,368.63,0.11,14.6396,0.0163,18.5842,0.0935599,1.0,-999.0,0.6966,0.0026,8.8648,0.4367,21.0384,4.93763e-05,1.03498,3073,0,62,0,155.901,28.3133,587741566587109433
21096924,14.9489,14.957,0.23739,8.24298,0.445446,0.23739,392.51,0.05,391.49,0.08,16.5102,0.0908,8.09685,0.459439,1.4405,0.0477,0.2405,0.0035,31.4688,0.1763,392.68,0.07,390.38,0.12,15.2431,0.0277,14.3809,0.127582,1.0,-999.0,0.4651,0.0071,25.1497,0.3542,20.8452,4.09233e-05,1.01496,5121,2112,62,0,203.13,4.80251,588010879306039459
21096927,16.0758,16.096,0.223637,5.75154,0.742125,0.2274,277.14,0.1,261.09,0.03,17.702,0.0273,4.05813,0.0936936,0.9991,0.031,0.268,0.0049,-83.5989,0.3348,276.1,0.15,260.87,0.09,16.3507,0.0094,8.13055,0.103195,1.0,-999.0,0.7638,0.0079,-75.0633,1.5196,21.0857,0.000101952,0.999,5121,2112,62,0,183.838,28.18,587741722819494015
21096935,16.4236,16.4236,0.227612,5.43593,0.565126,0.227612,250.81,0.04,250.12,0.04,18.0306,0.2642,3.9998,2.14315,7.3718,1.711,0.3546,0.0183,-0.079,1.4381,250.55,0.08,249.99,0.12,16.704,0.0345,7.19129,0.100936,1.0,-999.0,0.6665,0.0063,21.939,1.2853,20.9647,9.01138e-05,1.11956,5121,64,62,0,140.828,22.2997,587741532773351681
21096950,14.408,14.408,0.145686,6.21348,0.596414,0.145686,311.53,0.01,165.09,0.01,16.4994,0.0441,1.73567,0.178834,8.0,0.5814,0.2019,0.0046,49.2401,0.2696,311.04,0.02,165.24,0.02,14.5789,0.0046,8.53793,0.0241209,1.0,-999.0,0.6595,0.0026,46.7908,0.1692,20.9654,8.97785e-05,1.28888,5121,64,62,128,172.876,6.06614,588010360693719113
21096969,16.2059,16.2059,0.385662,2.40481,0.552063,0.385662,130.36,0.01,129.46,0.02,17.2403,0.0204,1.31171,0.0115236,1.1522,0.0447,0.5771,0.0083,-27.3085,0.9015,130.66,0.05,129.92,0.07,16.7348,0.0089,5.17928,0.0901046,1.0,-999.0,0.5228,0.007,33.11,0.5101,21.1702,0.000215648,1.09353,5121,2176,62,2,123.762,21.2716,587738946659811665
21096979,16.4169,16.4169,0.163119,3.62113,0.793687,0.163119,180.15,0.03,180.16,0.02,18.3857,0.0476,1.05003,0.0660924,2.9998,0.3775,0.3291,0.0231,73.9629,1.0926,180.19,0.05,180.17,0.06,16.6103,0.0089,4.81388,0.0515643,1.0,-999.0,0.7738,0.0065,5.5841,1.5254,21.067,0.000159698,1.07046,5121,64,62,0,239.513,18.0909,587739720309342466
21096983,15.536,15.5603,0.263264,2.76658,0.973552,0.2688,149.55,0.01,149.75,0.01,16.985,0.02,1.40053,0.023958,1.6205,0.044,0.3616,0.0063,53.8391,0.4675,151.18,0.02,150.12,0.02,15.8677,0.007,3.66079,0.0200675,1.0,-999.0,0.9724,0.0039,-8.7027,8.6726,21.1343,0.000162617,1.03183,5121,2112,62,2048,255.248,24.4331,588018254302871757
21096994,15.1058,15.1058,0.185273,4.80653,0.418839,0.185273,244.34,0.01,244.29,0.01,16.9363,0.0145,0.843678,0.0130284,1.7553,0.0536,0.6498,0.007,-84.472,0.7963,244.66,0.05,244.5,0.02,15.3283,0.0029,9.30483,0.0591394,1.0,-999.0,0.4178,0.0013,-87.5657,0.1404,20.974,0.000100169,1.02003,5121,2048,62,0,245.456,13.0034,587742615637852540
21097001,15.2707,15.2707,0.111232,5.74255,0.566901,0.111232,280.01,0.01,99.64,0.01,17.6551,0.0052,0.33961,0.0042768,1.0543,0.0852,0.8578,0.0206,-77.7544,4.8027,280.1,0.03,99.94,0.05,15.3987,0.0037,8.62425,0.0396699,1.0,-999.0,0.5641,0.0021,-34.9202,0.2815,20.8385,0.000131775,1.11993,5121,2048,62,0,188.774,19.1492,587742575906979897
21097014,15.3253,15.3253,0.196203,4.78,0.560798,0.196203,237.27,0.01,237.66,0.01,17.0936,0.0536,1.71595,0.205168,8.0,0.6284,0.2051,0.0064,-28.7598,0.3933,237.75,0.04,238.22,0.03,15.5625,0.0073,6.96855,0.0325599,1.0,-999.0,0.6175,0.002,-56.9631,0.4331,21.1283,0.000104403,1.12404,5121,64,62,130,157.225,19.839,587742061061603364
21686495,15.605,15.605,0.289252,3.12952,0.538913,0.289252,166.78,0.01,131.89,0.02,16.9518,0.0103,1.94028,0.0153648,0.6752,0.0163,0.2629,0.0031,4.5827,0.2276,166.45,0.03,132.95,0.11,15.9757,0.0158,6.39848,0.0555512,1.0,-999.0,0.5449,0.0026,7.9484,0.3738,20.982,0.000184673,1.09258,5121,2112,318,0,118.685,14.607,587741421632356667
21686498,15.1983,15.1983,0.528383,7.33348,0.475511,0.528383,309.62,0.02,309.42,0.01,15.8909,0.086,5.78358,0.44356,2.1554,0.0791,0.5793,0.0031,62.5462,0.4008,309.15,0.26,308.15,0.12,16.0143,0.0878,17.3978,0.391251,1.0,-999.0,0.422,0.014,78.3585,0.7268,21.2959,6.14591e-05,1.03005,3073,0,62,0,148.692,13.3747,587745538906652834
21686500,14.8755,14.8755,0.316343,5.56325,0.797555,0.316343,243.78,0.01,243.92,0.01,16.1251,0.0088,1.79875,0.0111276,1.1405,0.0117,0.6976,0.0022,-3.3816,0.4394,245.52,0.06,243.92,0.07,15.2884,0.004,9.99576,0.0853867,1.0,-999.0,0.7978,0.0033,-18.1046,0.8192,20.943,8.5454e-05,1.05244,5121,2048,62,0,144.843,36.5746,587735042545221729
